category,method,auroc,ap
candle,D256_z,0.9732000000000001,0.9743394766799574
candle,D512_z,0.9734,0.9737000804531304
candle,fixed_multiscale,0.9772000000000001,0.9776173474819904
candle,logistic_geometry,0.9736,0.9761060951079342
candle,conditional_top1pct_z,0.9325,0.9420525516201262
candle,unconditional_top1pct_z,0.9758,0.9742396819258168
candle,geometry512,0.9715999999999999,0.9720295232210133
candle,geometry_multiscale,0.9729999999999999,0.9734540748758848
candle,geometry_unconditional,0.9729999999999999,0.9727237442824577
candle,geometry_conditional,0.9695,0.9704682028328878
candle,geometry_shuffled,0.9715,0.9716505926954805
capsules,D256_z,0.749,0.8621417618959917
capsules,D512_z,0.9468333333333334,0.9725918821848262
capsules,fixed_multiscale,0.9235,0.9581263813711934
capsules,logistic_geometry,0.7443333333333334,0.8586744398567182
capsules,conditional_top1pct_z,0.9546666666666667,0.9749261099353206
capsules,unconditional_top1pct_z,0.9446666666666667,0.9686988537459468
capsules,geometry512,0.9464999999999999,0.9731014438376814
capsules,geometry_multiscale,0.9433333333333332,0.9701872199907909
capsules,geometry_unconditional,0.9485000000000001,0.9720927392137564
capsules,geometry_conditional,0.9461666666666667,0.9713672045812477
capsules,geometry_shuffled,0.9405,0.9684373294682536
cashew,D256_z,0.9614,0.9811976771880659
cashew,D512_z,0.976,0.9890793622967358
cashew,fixed_multiscale,0.9768000000000001,0.9891781734229713
cashew,logistic_geometry,0.9622,0.9816569884747526
cashew,conditional_top1pct_z,0.9829999999999999,0.9917599185100392
cashew,unconditional_top1pct_z,0.9816,0.9910461588754117
cashew,geometry512,0.983,0.9924800365262679
cashew,geometry_multiscale,0.9824,0.9923100474275859
cashew,geometry_unconditional,0.987,0.9942584386691524
cashew,geometry_conditional,0.9854,0.9935813511292391
cashew,geometry_shuffled,0.9812,0.9917523164643944
chewinggum,D256_z,0.9884000000000001,0.9953147197249776
chewinggum,D512_z,0.9909999999999999,0.9960316881939906
chewinggum,fixed_multiscale,0.9904,0.996025641025641
chewinggum,logistic_geometry,0.9796,0.9922050510907228
chewinggum,conditional_top1pct_z,0.982,0.9930022464824029
chewinggum,unconditional_top1pct_z,0.9942,0.9973126345374052
chewinggum,geometry512,0.9922,0.9964917961908515
chewinggum,geometry_multiscale,0.9924,0.9965917755765451
chewinggum,geometry_unconditional,0.9942,0.9973331864877288
chewinggum,geometry_conditional,0.9922,0.9964796542295336
chewinggum,geometry_shuffled,0.9894000000000001,0.9953861147327249
fryum,D256_z,0.9546,0.9792100168814865
fryum,D512_z,0.984,0.9919779086885728
fryum,fixed_multiscale,0.9812,0.9908669845278291
fryum,logistic_geometry,0.9339999999999999,0.9731478349005053
fryum,conditional_top1pct_z,0.99,0.9952001992511255
fryum,unconditional_top1pct_z,0.9848,0.9930357746657243
fryum,geometry512,0.9556,0.9813045391564796
fryum,geometry_multiscale,0.9534,0.9805636125462165
fryum,geometry_unconditional,0.9654,0.9850267871077655
fryum,geometry_conditional,0.9614,0.9835825161283449
fryum,geometry_shuffled,0.951,0.9794103644782426
macaroni1,D256_z,0.8249000000000001,0.8242616411715697
macaroni1,D512_z,0.9563999999999999,0.9504056665793419
macaroni1,fixed_multiscale,0.9386,0.9312899391826052
macaroni1,logistic_geometry,0.8408,0.8666603955464629
macaroni1,conditional_top1pct_z,0.7850000000000001,0.7732287340855425
macaroni1,unconditional_top1pct_z,0.9079,0.8803128853112351
macaroni1,geometry512,0.9509000000000001,0.9586848847433922
macaroni1,geometry_multiscale,0.9514,0.9593746509160225
macaroni1,geometry_unconditional,0.9473999999999999,0.9528405358884987
macaroni1,geometry_conditional,0.9389000000000001,0.9472901460484643
macaroni1,geometry_shuffled,0.952,0.9598018134762474
