category,method,n,auroc,ap
can,D_z,162,0.44382716049382714,0.5569980589854331
can,M_context_top1_z,162,0.5245370370370371,0.5529616742269482
can,naive_context_top1,162,0.4813271604938272,0.551780851510761
can,fixed_source,162,0.4524691358024691,0.5672803976583112
can,logistic_source,162,0.45895061728395065,0.5765571265295628
fabric,D_z,156,0.7102693602693604,0.7836136424575284
fabric,M_context_top1_z,156,0.5168350168350168,0.5737465648883822
fabric,naive_context_top1,156,0.6648148148148149,0.7711767214734149
fabric,fixed_source,156,0.7207070707070706,0.800184093953284
fabric,logistic_source,156,0.719023569023569,0.8051256169604848
fruit_jelly,D_z,80,0.7899999999999999,0.9293496212782802
fruit_jelly,M_context_top1_z,80,0.4733333333333334,0.751464728610729
fruit_jelly,naive_context_top1,80,0.7366666666666666,0.9082049855015464
fruit_jelly,fixed_source,80,0.7841666666666666,0.9281155261337173
fruit_jelly,logistic_source,80,0.7825,0.9282149978779324
rice,D_z,132,0.5335978835978836,0.7033982193190758
rice,M_context_top1_z,132,0.45211640211640214,0.6779847667965073
rice,naive_context_top1,132,0.5238095238095237,0.69956238547084
rice,fixed_source,132,0.532010582010582,0.701495514487386
rice,logistic_source,132,0.533068783068783,0.7006223801405976
sheet_metal,D_z,114,0.699537037037037,0.9117786460432544
sheet_metal,M_context_top1_z,114,0.6324074074074074,0.8761115917363804
sheet_metal,naive_context_top1,114,0.7407407407407407,0.920002119197074
sheet_metal,fixed_source,114,0.710648148148148,0.9139074691173181
sheet_metal,logistic_source,114,0.7208333333333333,0.9158964154784879
vial,D_z,140,0.8642176870748299,0.9514223221057349
vial,M_context_top1_z,140,0.6010884353741497,0.8587155396746751
vial,naive_context_top1,140,0.820952380952381,0.9434977379986035
vial,fixed_source,140,0.8653061224489796,0.9520181510524097
vial,logistic_source,140,0.8680272108843536,0.9541343969330303
wallplugs,D_z,150,0.46518518518518515,0.5707241422253511
wallplugs,M_context_top1_z,150,0.5551851851851852,0.6315398860949617
wallplugs,naive_context_top1,150,0.5085185185185186,0.5906105361579798
wallplugs,fixed_source,150,0.47092592592592597,0.5716039852267201
wallplugs,logistic_source,150,0.4774074074074074,0.5745395430984557
walnuts,D_z,150,0.8448148148148148,0.9188121337200278
walnuts,M_context_top1_z,150,0.7735185185185185,0.8235779532716956
walnuts,naive_context_top1,150,0.8718518518518518,0.9197151516803623
walnuts,fixed_source,150,0.8511111111111112,0.9205040413009986
walnuts,logistic_source,150,0.8574074074074074,0.9219809957084037
